Image;Model;AUC;ACC;SEN;SPE;Prec;F1_score
T1-Left;多模态Siamese Net;0.923;0.829;0.812;0.841;0.761;0.785
T1-Left;Siamese Net;0.766;0.649;0.641;0.654;0.534;0.576
T1-Left;随机森林;0.716;0.651;0.661;0.645;0.55;0.601
T1-Left;K-最近邻;0.573;0.56;0.472;0.618;0.448;0.459
T1-Left;逻辑回归;0.597;0.569;0.513;0.606;0.461;0.485
T1-Left;高年资医生;0.594;0.574;0.738;0.398;0.567;0.641
T1-Left;低年资医生;0.535;0.561;0.532;0.593;0.583;0.556
T1-Right;多模态Siamese Net;0.916;0.843;0.746;0.882;0.713;0.727
T1-Right;Siamese Net;0.736;0.679;0.387;0.793;0.425;0.39
T1-Right;随机森林;0.681;0.701;0.24;0.871;0.409;0.303
T1-Right;K-最近邻;0.546;0.659;0.176;0.838;0.288;0.219
T1-Right;逻辑回归;0.582;0.647;0.267;0.788;0.318;0.291
T1-Right;高年资医生;0.534;0.639;0.223;0.9;0.583;0.323
T1-Right;低年资医生;0.525;0.631;0.181;0.913;0.567;0.274
PET-Left;多模态Siamese Net;0.923;0.829;0.812;0.841;0.761;0.785
PET-Left;Siamese Net;0.882;0.746;0.771;0.728;0.643;0.699
PET-Left;随机森林;0.711;0.654;0.621;0.676;0.558;0.588
PET-Left;K-最近邻;0.579;0.56;0.474;0.616;0.448;0.461
PET-Left;逻辑回归;0.548;0.575;0.315;0.747;0.449;0.37
PET-Left;高年资医生;0.594;0.574;0.738;0.398;0.567;0.641
PET-Left;低年资医生;0.535;0.561;0.532;0.593;0.583;0.556
PET-Right;多模态Siamese Net;0.916;0.843;0.746;0.882;0.713;0.727
PET-Right;Siamese Net;0.897;0.819;0.736;0.853;0.664;0.694
PET-Right;随机森林;0.703;0.728;0.375;0.859;0.495;0.427
PET-Right;K-最近邻;0.589;0.673;0.249;0.83;0.352;0.292
PET-Right;逻辑回归;0.565;0.593;0.428;0.654;0.314;0.362
PET-Right;高年资医生;0.534;0.639;0.223;0.9;0.583;0.323
PET-Right;低年资医生;0.525;0.631;0.181;0.913;0.567;0.274
